	son	contexte_gauche	contexte_droit	contextes	proba_oral	proba_nasal
1	a	dorsal	coronal	dorsal_coronal	0.190798	0.809202
2	a	labial	coronal	labial_coronal	0.740381	0.259619
3	a	labial	coronal	labial_coronal	0.711298	0.288702
4	a	dorsal	coronal	dorsal_coronal	0.523740	0.476260
5	a	labial	coronal	labial_coronal	0.875439	0.124561
6	a	dorsal	coronal	dorsal_coronal	0.898294	0.101706
7	a	n	coronal	n_coronal	0.852954	0.147046
8	a	labial	dorsal	labial_dorsal	0.766001	0.233999
9	a	coronal	coronal	coronal_coronal	0.861661	0.138339
10	a	dorsal	pause	dorsal_pause	0.207378	0.792622
11	a	coronal	coronal	coronal_coronal	0.583287	0.416713
12	a	pause	coronal	pause_coronal	0.904190	0.095810
13	a	coronal	m	coronal_m	0.528953	0.471046
14	a	n	coronal	n_coronal	0.896893	0.103107
15	a	dorsal	dorsal	dorsal_dorsal	0.574744	0.425256
16	a	coronal	coronal	coronal_coronal	0.864512	0.135488
17	a	coronal	coronal	coronal_coronal	0.725844	0.274156
18	a	labial	dorsal	labial_dorsal	0.192824	0.807176
19	a	labial	coronal	labial_coronal	0.542455	0.457544
20	a	coronal	coronal	coronal_coronal	0.794607	0.205393
21	a	pause	coronal	pause_coronal	0.897739	0.102261
22	a	coronal	labial	coronal_labial	0.915421	0.084579
23	a	coronal	pause	coronal_pause	0.869253	0.130747
24	a	coronal	coronal	coronal_coronal	0.698371	0.301629
25	a	labial	m	labial_m	0.742820	0.257180
26	a	dorsal	coronal	dorsal_coronal	0.413105	0.586895
27	a	coronal	coronal	coronal_coronal	0.772654	0.227346
28	a	dorsal	coronal	dorsal_coronal	0.804278	0.195722
29	a	labial	labial	labial_labial	0.575710	0.424290
30	a	dorsal	pause	dorsal_pause	0.204446	0.795554
31	a	dorsal	dorsal	dorsal_dorsal	0.834739	0.165261
32	a	coronal	dorsal	coronal_dorsal	0.663312	0.336688
33	a	dorsal	coronal	dorsal_coronal	0.877316	0.122684
34	a	dorsal	dorsal	dorsal_dorsal	0.824775	0.175226
35	a	dorsal	dorsal	dorsal_dorsal	0.663979	0.336021
36	a	dorsal	pause	dorsal_pause	0.443524	0.556476
37	a	labial	pause	labial_pause	0.723452	0.276548
38	a	coronal	coronal	coronal_coronal	0.808085	0.191915
39	a	labial	coronal	labial_coronal	0.774029	0.225971
40	a	coronal	labial	coronal_labial	0.898642	0.101358
41	a	pause	m	pause_m	0.555844	0.444156
42	a	dorsal	pause	dorsal_pause	0.238076	0.761924
43	a	coronal	labial	coronal_labial	0.867064	0.132936
44	a	coronal	labial	coronal_labial	0.841145	0.158855
45	a	labial	n	labial_n	0.715805	0.284195
46	a	coronal	dorsal	coronal_dorsal	0.565348	0.434652
47	a	coronal	coronal	coronal_coronal	0.911982	0.088018
