	son	contexte_gauche	contexte_droit	contextes	proba_oral	proba_nasal
1	a	dorsal	coronal	dorsal_coronal	0.998488	0.001512
2	a	labial	coronal	labial_coronal	0.998083	0.001917
3	a	labial	coronal	labial_coronal	0.989211	0.010789
4	a	dorsal	coronal	dorsal_coronal	1.000000	0.000000
5	a	labial	coronal	labial_coronal	1.000000	0.000000
6	a	dorsal	coronal	dorsal_coronal	1.000000	0.000000
7	a	n	coronal	n_coronal	0.999997	0.000003
8	a	labial	dorsal	labial_dorsal	0.999991	0.000009
9	a	coronal	coronal	coronal_coronal	0.999999	0.000001
10	a	dorsal	pause	dorsal_pause	0.899188	0.100812
11	a	coronal	coronal	coronal_coronal	0.998945	0.001055
12	a	pause	coronal	pause_coronal	0.999989	0.000011
13	a	coronal	m	coronal_m	0.966145	0.033855
14	a	n	coronal	n_coronal	1.000000	0.000000
15	a	dorsal	dorsal	dorsal_dorsal	0.969460	0.030540
16	a	coronal	coronal	coronal_coronal	1.000000	0.000000
17	a	coronal	coronal	coronal_coronal	1.000000	0.000000
18	a	labial	dorsal	labial_dorsal	0.990230	0.009770
19	a	labial	coronal	labial_coronal	0.184229	0.815771
20	a	coronal	coronal	coronal_coronal	1.000000	0.000000
21	a	pause	coronal	pause_coronal	0.996733	0.003267
22	a	coronal	labial	coronal_labial	0.999995	0.000005
23	a	coronal	pause	coronal_pause	0.999995	0.000005
24	a	coronal	coronal	coronal_coronal	1.000000	0.000000
25	a	labial	m	labial_m	0.002050	0.997950
26	a	dorsal	coronal	dorsal_coronal	0.999812	0.000188
27	a	coronal	coronal	coronal_coronal	1.000000	0.000000
28	a	dorsal	coronal	dorsal_coronal	0.992122	0.007878
29	a	labial	labial	labial_labial	0.999992	0.000008
30	a	dorsal	pause	dorsal_pause	0.979589	0.020411
31	a	dorsal	dorsal	dorsal_dorsal	0.999574	0.000426
32	a	coronal	dorsal	coronal_dorsal	0.999975	0.000025
33	a	dorsal	coronal	dorsal_coronal	0.999997	0.000003
34	a	dorsal	dorsal	dorsal_dorsal	1.000000	0.000000
35	a	dorsal	dorsal	dorsal_dorsal	0.999176	0.000824
36	a	dorsal	pause	dorsal_pause	0.000047	0.999953
37	a	labial	pause	labial_pause	0.999999	0.000001
38	a	coronal	coronal	coronal_coronal	0.999981	0.000019
39	a	labial	coronal	labial_coronal	0.947682	0.052317
40	a	coronal	labial	coronal_labial	0.999938	0.000062
41	a	pause	m	pause_m	0.035144	0.964856
42	a	dorsal	pause	dorsal_pause	0.995132	0.004868
43	a	coronal	labial	coronal_labial	0.995332	0.004668
44	a	coronal	labial	coronal_labial	0.994271	0.005729
45	a	labial	n	labial_n	0.999967	0.000033
46	a	coronal	dorsal	coronal_dorsal	0.999871	0.000129
47	a	coronal	coronal	coronal_coronal	0.999987	0.000013
48	a	labial	coronal	labial_coronal	1.000000	0.000000
49	a	labial	coronal	labial_coronal	1.000000	0.000000
50	a	m	coronal	m_coronal	0.997594	0.002406
51	a	coronal	pause	coronal_pause	1.000000	0.000000
52	a	dorsal	dorsal	dorsal_dorsal	1.000000	0.000000
53	a	labial	dorsal	labial_dorsal	0.999998	0.000002
54	a	labial	coronal	labial_coronal	0.992183	0.007817
55	a	coronal	labial	coronal_labial	0.999798	0.000202
56	a	coronal	coronal	coronal_coronal	1.000000	0.000000
57	a	dorsal	coronal	dorsal_coronal	0.998511	0.001489
58	a	labial	dorsal	labial_dorsal	0.999437	0.000563
59	a	dorsal	labial	dorsal_labial	0.999949	0.000051
60	a	coronal	coronal	coronal_coronal	1.000000	0.000000
61	a	coronal	coronal	coronal_coronal	0.995028	0.004972
62	a	labial	dorsal	labial_dorsal	0.999997	0.000003
63	a	coronal	dorsal	coronal_dorsal	0.999992	0.000008
64	a	coronal	pause	coronal_pause	1.000000	0.000000
65	a	coronal	coronal	coronal_coronal	0.999996	0.000004
66	a	coronal	labial	coronal_labial	0.999990	0.000010
67	a	dorsal	dorsal	dorsal_dorsal	0.999817	0.000183
68	a	pause	n	pause_n	0.999990	0.000010
69	a	pause	coronal	pause_coronal	0.999969	0.000031
70	a	coronal	pause	coronal_pause	0.327861	0.672139
71	a	dorsal	coronal	dorsal_coronal	0.999779	0.000221
72	a	pause	coronal	pause_coronal	0.999995	0.000005
73	a	coronal	m	coronal_m	0.999999	0.000001
74	a	dorsal	labial	dorsal_labial	0.990978	0.009022
75	a	dorsal	coronal	dorsal_coronal	0.999838	0.000162
76	a	coronal	labial	coronal_labial	0.999995	0.000005
77	a	labial	coronal	labial_coronal	1.000000	0.000000
78	a	coronal	coronal	coronal_coronal	0.999986	0.000014
79	a	m	coronal	m_coronal	1.000000	0.000001
80	a	labial	coronal	labial_coronal	0.999941	0.000059
81	a	coronal	pause	coronal_pause	0.999436	0.000564
82	a	dorsal	coronal	dorsal_coronal	0.999757	0.000243
83	a	coronal	coronal	coronal_coronal	0.999928	0.000072
84	a	labial	m	labial_m	0.999813	0.000187
85	a	coronal	dorsal	coronal_dorsal	0.999777	0.000222
86	a	dorsal	pause	dorsal_pause	0.384881	0.615119
87	a	dorsal	pause	dorsal_pause	0.740181	0.259820
88	a	labial	coronal	labial_coronal	1.000000	0.000000
89	a	pause	coronal	pause_coronal	1.000000	0.000000
90	a	coronal	m	coronal_m	0.999998	0.000002
91	a	coronal	m	coronal_m	0.999996	0.000004
92	a	coronal	labial	coronal_labial	0.998930	0.001070
93	a	m	coronal	m_coronal	1.000000	0.000000
94	a	m	coronal	m_coronal	0.999529	0.000471
95	a	labial	labial	labial_labial	0.999838	0.000162
96	a	coronal	m	coronal_m	0.999998	0.000002
97	a	labial	coronal	labial_coronal	0.999806	0.000194
98	a	labial	coronal	labial_coronal	0.999977	0.000023
99	a	labial	coronal	labial_coronal	0.999988	0.000012
100	a	labial	dorsal	labial_dorsal	0.999997	0.000003
101	a	coronal	labial	coronal_labial	0.999999	0.000001
102	a	coronal	dorsal	coronal_dorsal	1.000000	0.000000
103	a	coronal	coronal	coronal_coronal	1.000000	0.000000
104	a	dorsal	pause	dorsal_pause	0.999981	0.000019
105	a	dorsal	coronal	dorsal_coronal	0.999837	0.000163
106	a	coronal	dorsal	coronal_dorsal	0.999964	0.000036
107	a	coronal	pause	coronal_pause	0.999994	0.000006
108	a	labial	dorsal	labial_dorsal	0.999994	0.000006
109	a	labial	dorsal	labial_dorsal	0.999984	0.000016
110	a	coronal	coronal	coronal_coronal	1.000000	0.000000
111	a	coronal	pause	coronal_pause	0.993404	0.006596
112	a	dorsal	pause	dorsal_pause	0.966710	0.033290
113	a	labial	pause	labial_pause	1.000000	0.000000
114	a	m	dorsal	m_dorsal	0.999990	0.000010
115	a	m	coronal	m_coronal	0.999980	0.000020
116	a	dorsal	labial	dorsal_labial	0.424160	0.575840
117	a	labial	labial	labial_labial	0.028096	0.971904
118	a	coronal	pause	coronal_pause	0.863231	0.136769
119	a	m	dorsal	m_dorsal	0.983712	0.016288
120	a	coronal	coronal	coronal_coronal	1.000000	0.000000
121	a	dorsal	coronal	dorsal_coronal	0.999973	0.000027
122	a	labial	dorsal	labial_dorsal	0.999999	0.000001
123	a	labial	labial	labial_labial	0.998978	0.001022
124	a	coronal	coronal	coronal_coronal	0.911319	0.088681
125	a	coronal	coronal	coronal_coronal	1.000000	0.000000
126	a	labial	coronal	labial_coronal	1.000000	0.000000
