	son	contexte_gauche	contexte_droit	contextes	proba_oral	proba_nasal
1	a	dorsal	coronal	dorsal_coronal	0.141017	0.858983
2	a	labial	coronal	labial_coronal	0.729480	0.270520
3	a	labial	coronal	labial_coronal	0.659644	0.340356
4	a	dorsal	coronal	dorsal_coronal	0.529704	0.470296
5	a	labial	coronal	labial_coronal	0.890530	0.109470
6	a	dorsal	coronal	dorsal_coronal	0.920107	0.079893
7	a	n	coronal	n_coronal	0.866189	0.133811
8	a	labial	dorsal	labial_dorsal	0.623524	0.376476
9	a	coronal	coronal	coronal_coronal	0.867580	0.132420
10	a	dorsal	pause	dorsal_pause	0.152653	0.847347
11	a	coronal	coronal	coronal_coronal	0.557741	0.442259
12	a	pause	coronal	pause_coronal	0.924263	0.075737
13	a	coronal	m	coronal_m	0.540824	0.459176
14	a	n	coronal	n_coronal	0.867780	0.132220
15	a	dorsal	dorsal	dorsal_dorsal	0.662349	0.337651
16	a	coronal	coronal	coronal_coronal	0.855870	0.144130
17	a	coronal	coronal	coronal_coronal	0.708236	0.291764
18	a	labial	dorsal	labial_dorsal	0.166714	0.833286
19	a	labial	coronal	labial_coronal	0.552219	0.447781
20	a	coronal	coronal	coronal_coronal	0.779517	0.220483
21	a	pause	coronal	pause_coronal	0.817815	0.182185
22	a	coronal	labial	coronal_labial	0.933444	0.066556
23	a	coronal	pause	coronal_pause	0.895261	0.104739
24	a	coronal	coronal	coronal_coronal	0.709797	0.290203
25	a	labial	m	labial_m	0.728927	0.271073
26	a	dorsal	coronal	dorsal_coronal	0.406299	0.593701
27	a	coronal	coronal	coronal_coronal	0.786015	0.213985
28	a	dorsal	coronal	dorsal_coronal	0.795022	0.204978
29	a	labial	labial	labial_labial	0.538595	0.461405
30	a	dorsal	pause	dorsal_pause	0.264088	0.735912
31	a	dorsal	dorsal	dorsal_dorsal	0.850484	0.149516
32	a	coronal	dorsal	coronal_dorsal	0.616375	0.383625
33	a	dorsal	coronal	dorsal_coronal	0.876543	0.123457
34	a	dorsal	dorsal	dorsal_dorsal	0.834174	0.165826
35	a	dorsal	dorsal	dorsal_dorsal	0.696894	0.303106
36	a	dorsal	pause	dorsal_pause	0.560123	0.439877
37	a	labial	pause	labial_pause	0.709242	0.290758
38	a	coronal	coronal	coronal_coronal	0.823602	0.176398
39	a	labial	coronal	labial_coronal	0.717328	0.282672
40	a	coronal	labial	coronal_labial	0.899519	0.100481
41	a	pause	m	pause_m	0.381950	0.618050
42	a	dorsal	pause	dorsal_pause	0.213465	0.786535
43	a	coronal	labial	coronal_labial	0.892990	0.107010
44	a	coronal	labial	coronal_labial	0.843237	0.156763
45	a	labial	n	labial_n	0.773536	0.226464
46	a	coronal	dorsal	coronal_dorsal	0.522712	0.477288
47	a	coronal	coronal	coronal_coronal	0.913939	0.086061
48	a	labial	coronal	labial_coronal	0.774531	0.225469
49	a	labial	coronal	labial_coronal	0.867084	0.132916
50	a	m	coronal	m_coronal	0.665512	0.334488
51	a	coronal	pause	coronal_pause	0.582112	0.417888
52	a	dorsal	dorsal	dorsal_dorsal	0.916315	0.083684
53	a	labial	dorsal	labial_dorsal	0.583177	0.416823
54	a	labial	coronal	labial_coronal	0.793992	0.206008
55	a	coronal	labial	coronal_labial	0.486824	0.513176
56	a	coronal	coronal	coronal_coronal	0.901549	0.098451
57	a	dorsal	coronal	dorsal_coronal	0.634936	0.365064
58	a	labial	dorsal	labial_dorsal	0.591637	0.408363
59	a	dorsal	labial	dorsal_labial	0.754147	0.245853
60	a	coronal	coronal	coronal_coronal	0.688510	0.311490
61	a	coronal	coronal	coronal_coronal	0.388849	0.611151
62	a	labial	dorsal	labial_dorsal	0.691900	0.308100
63	a	coronal	dorsal	coronal_dorsal	0.578986	0.421014
64	a	coronal	pause	coronal_pause	0.725837	0.274163
65	a	coronal	coronal	coronal_coronal	0.740873	0.259127
66	a	coronal	labial	coronal_labial	0.924371	0.075629
67	a	dorsal	dorsal	dorsal_dorsal	0.483998	0.516002
68	a	pause	n	pause_n	0.727564	0.272436
69	a	pause	coronal	pause_coronal	0.708369	0.291631
70	a	coronal	pause	coronal_pause	0.196962	0.803038
71	a	dorsal	coronal	dorsal_coronal	0.860176	0.139824
72	a	pause	coronal	pause_coronal	0.915852	0.084148
73	a	coronal	m	coronal_m	0.811257	0.188743
74	a	dorsal	labial	dorsal_labial	0.665480	0.334520
75	a	dorsal	coronal	dorsal_coronal	0.806772	0.193228
76	a	coronal	labial	coronal_labial	0.798075	0.201925
77	a	labial	coronal	labial_coronal	0.859571	0.140429
78	a	coronal	coronal	coronal_coronal	0.788090	0.211911
79	a	m	coronal	m_coronal	0.755262	0.244738
80	a	labial	coronal	labial_coronal	0.841894	0.158106
81	a	coronal	pause	coronal_pause	0.829143	0.170857
82	a	dorsal	coronal	dorsal_coronal	0.657361	0.342639
83	a	coronal	coronal	coronal_coronal	0.706058	0.293942
84	a	labial	m	labial_m	0.892907	0.107093
85	a	coronal	dorsal	coronal_dorsal	0.892107	0.107893
86	a	dorsal	pause	dorsal_pause	0.330928	0.669072
87	a	dorsal	pause	dorsal_pause	0.445586	0.554414
88	a	labial	coronal	labial_coronal	0.898408	0.101592
89	a	pause	coronal	pause_coronal	0.857549	0.142451
90	a	coronal	m	coronal_m	0.738870	0.261130
91	a	coronal	m	coronal_m	0.928078	0.071922
92	a	coronal	labial	coronal_labial	0.827857	0.172143
93	a	m	coronal	m_coronal	0.896339	0.103661
94	a	m	coronal	m_coronal	0.946183	0.053817
95	a	labial	labial	labial_labial	0.811741	0.188259
96	a	coronal	m	coronal_m	0.909164	0.090836
97	a	labial	coronal	labial_coronal	0.806823	0.193178
98	a	labial	coronal	labial_coronal	0.841779	0.158221
99	a	labial	coronal	labial_coronal	0.813103	0.186897
100	a	labial	dorsal	labial_dorsal	0.858764	0.141236
101	a	coronal	labial	coronal_labial	0.907673	0.092327
102	a	coronal	dorsal	coronal_dorsal	0.895835	0.104165
103	a	coronal	coronal	coronal_coronal	0.796733	0.203267
104	a	dorsal	pause	dorsal_pause	0.403022	0.596978
105	a	dorsal	coronal	dorsal_coronal	0.859519	0.140481
106	a	coronal	dorsal	coronal_dorsal	0.893452	0.106548
107	a	coronal	pause	coronal_pause	0.788886	0.211114
108	a	labial	dorsal	labial_dorsal	0.895224	0.104776
109	a	labial	dorsal	labial_dorsal	0.949981	0.050019
110	a	coronal	coronal	coronal_coronal	0.948919	0.051081
111	a	coronal	pause	coronal_pause	0.446331	0.553669
112	a	dorsal	pause	dorsal_pause	0.347131	0.652869
113	a	labial	pause	labial_pause	0.937069	0.062931
114	a	m	dorsal	m_dorsal	0.860059	0.139941
115	a	m	coronal	m_coronal	0.914963	0.085037
116	a	dorsal	labial	dorsal_labial	0.681224	0.318776
117	a	labial	labial	labial_labial	0.479835	0.520165
118	a	coronal	pause	coronal_pause	0.415438	0.584562
119	a	m	dorsal	m_dorsal	0.882137	0.117863
120	a	coronal	coronal	coronal_coronal	0.927371	0.072629
121	a	dorsal	coronal	dorsal_coronal	0.904759	0.095241
122	a	labial	dorsal	labial_dorsal	0.581702	0.418298
123	a	labial	labial	labial_labial	0.765895	0.234105
124	a	coronal	coronal	coronal_coronal	0.668224	0.331776
125	a	coronal	coronal	coronal_coronal	0.822545	0.177455
126	a	labial	coronal	labial_coronal	0.901749	0.098251
127	a	labial	dorsal	labial_dorsal	0.755383	0.244617
128	a	labial	coronal	labial_coronal	0.797053	0.202947
129	a	coronal	pause	coronal_pause	0.862892	0.137108
130	a	dorsal	coronal	dorsal_coronal	0.767512	0.232488
131	a	labial	m	labial_m	0.858730	0.141270
132	a	labial	coronal	labial_coronal	0.724276	0.275724
133	a	labial	coronal	labial_coronal	0.761485	0.238515
134	a	labial	dorsal	labial_dorsal	0.824638	0.175362
135	a	coronal	pause	coronal_pause	0.450921	0.549079
136	a	labial	labial	labial_labial	0.845128	0.154872
137	a	coronal	pause	coronal_pause	0.750424	0.249576
138	a	coronal	coronal	coronal_coronal	0.904875	0.095125
139	a	coronal	coronal	coronal_coronal	0.843178	0.156822
140	a	dorsal	labial	dorsal_labial	0.842395	0.157605
141	a	coronal	coronal	coronal_coronal	0.924141	0.075859
142	a	coronal	coronal	coronal_coronal	0.962951	0.037049
143	a	coronal	coronal	coronal_coronal	0.914374	0.085626
144	a	labial	coronal	labial_coronal	0.817375	0.182625
145	a	labial	coronal	labial_coronal	0.846024	0.153976
146	a	coronal	dorsal	coronal_dorsal	0.926793	0.073207
147	a	coronal	coronal	coronal_coronal	0.843572	0.156428
148	a	m	dorsal	m_dorsal	0.862419	0.137581
149	a	coronal	labial	coronal_labial	0.632369	0.367631
150	a	labial	coronal	labial_coronal	0.803931	0.196069
151	a	dorsal	pause	dorsal_pause	0.362278	0.637722
152	a	dorsal	labial	dorsal_labial	0.652896	0.347104
153	a	coronal	coronal	coronal_coronal	0.523131	0.476869
154	a	labial	coronal	labial_coronal	0.944331	0.055669
155	a	labial	coronal	labial_coronal	0.715960	0.284040
156	a	coronal	dorsal	coronal_dorsal	0.903719	0.096281
157	a	labial	labial	labial_labial	0.415948	0.584052
158	a	dorsal	coronal	dorsal_coronal	0.437289	0.562711
159	a	labial	dorsal	labial_dorsal	0.802524	0.197476
160	a	labial	coronal	labial_coronal	0.829646	0.170354
161	a	dorsal	pause	dorsal_pause	0.799553	0.200447
162	a	coronal	pause	coronal_pause	0.854852	0.145148
163	a	coronal	coronal	coronal_coronal	0.851697	0.148303
164	a	dorsal	coronal	dorsal_coronal	0.413050	0.586950
165	a	coronal	dorsal	coronal_dorsal	0.454266	0.545734
166	a	pause	coronal	pause_coronal	0.946532	0.053468
167	a	coronal	pause	coronal_pause	0.371327	0.628673
168	a	coronal	pause	coronal_pause	0.875836	0.124164
169	a	m	coronal	m_coronal	0.587155	0.412846
170	a	dorsal	coronal	dorsal_coronal	0.857060	0.142940
171	a	dorsal	coronal	dorsal_coronal	0.837160	0.162840
172	a	coronal	pause	coronal_pause	0.948530	0.051470
173	a	labial	dorsal	labial_dorsal	0.859900	0.140100
174	a	n	labial	n_labial	0.862603	0.137397
175	a	labial	coronal	labial_coronal	0.744141	0.255859
176	a	dorsal	labial	dorsal_labial	0.596461	0.403539
177	a	labial	coronal	labial_coronal	0.787563	0.212437
178	a	labial	labial	labial_labial	0.573560	0.426440
179	a	coronal	coronal	coronal_coronal	0.945459	0.054541
180	a	n	coronal	n_coronal	0.908115	0.091885
181	a	n	coronal	n_coronal	0.574909	0.425091
182	a	dorsal	coronal	dorsal_coronal	0.616862	0.383138
183	a	coronal	labial	coronal_labial	0.867540	0.132460
184	a	labial	coronal	labial_coronal	0.867434	0.132566
185	a	coronal	dorsal	coronal_dorsal	0.754434	0.245566
186	a	dorsal	labial	dorsal_labial	0.925409	0.074591
187	a	coronal	coronal	coronal_coronal	0.727807	0.272193
188	a	coronal	coronal	coronal_coronal	0.902092	0.097908
189	a	labial	coronal	labial_coronal	0.663154	0.336846
190	a	coronal	pause	coronal_pause	0.908632	0.091368
191	a	labial	coronal	labial_coronal	0.772769	0.227231
192	a	labial	dorsal	labial_dorsal	0.878780	0.121220
193	a	pause	labial	pause_labial	0.845657	0.154343
194	a	labial	m	labial_m	0.760533	0.239467
195	a	dorsal	pause	dorsal_pause	0.477356	0.522644
196	a	labial	coronal	labial_coronal	0.898855	0.101145
197	a	pause	labial	pause_labial	0.090214	0.909786
198	a	labial	pause	labial_pause	0.947159	0.052841
199	a	labial	dorsal	labial_dorsal	0.853356	0.146644
200	a	coronal	dorsal	coronal_dorsal	0.736471	0.263529
201	a	pause	pause	pause_pause	0.549951	0.450049
202	a	labial	labial	labial_labial	0.756034	0.243966
203	a	labial	dorsal	labial_dorsal	0.839258	0.160742
204	a	labial	n	labial_n	0.793861	0.206139
205	a	n	dorsal	n_dorsal	0.730752	0.269248
206	a	labial	labial	labial_labial	0.748790	0.251210
207	a	dorsal	coronal	dorsal_coronal	0.731314	0.268686
208	a	coronal	m	coronal_m	0.859671	0.140329
209	a	coronal	coronal	coronal_coronal	0.920113	0.079887
210	a	dorsal	pause	dorsal_pause	0.420277	0.579723
211	a	coronal	dorsal	coronal_dorsal	0.827180	0.172820
212	a	labial	dorsal	labial_dorsal	0.626877	0.373123
213	a	coronal	labial	coronal_labial	0.838728	0.161272
214	a	m	labial	m_labial	0.592302	0.407698
215	a	dorsal	coronal	dorsal_coronal	0.688992	0.311008
216	a	coronal	coronal	coronal_coronal	0.947803	0.052197
217	a	coronal	coronal	coronal_coronal	0.847514	0.152486
218	a	m	coronal	m_coronal	0.594330	0.405670
219	a	coronal	coronal	coronal_coronal	0.526203	0.473797
220	a	labial	dorsal	labial_dorsal	0.680032	0.319968
221	a	labial	pause	labial_pause	0.828728	0.171272
222	a	coronal	labial	coronal_labial	0.761775	0.238225
223	a	labial	coronal	labial_coronal	0.911676	0.088324
224	a	coronal	m	coronal_m	0.820823	0.179177
225	a	coronal	labial	coronal_labial	0.561376	0.438624
226	a	labial	pause	labial_pause	0.636146	0.363854
227	a	dorsal	coronal	dorsal_coronal	0.906126	0.093874
228	a	m	coronal	m_coronal	0.745598	0.254402
229	a	coronal	labial	coronal_labial	0.829282	0.170718
230	a	m	pause	m_pause	0.734673	0.265327
231	a	labial	m	labial_m	0.765382	0.234618
232	a	pause	n	pause_n	0.542059	0.457941
233	a	m	labial	m_labial	0.789675	0.210325
234	a	coronal	pause	coronal_pause	0.615506	0.384494
235	a	labial	dorsal	labial_dorsal	0.827983	0.172017
