	son	contexte_gauche	contexte_droit	contextes	temps_debut	temps_fin	proba_oral	proba_nasal
1	a	labial	coronal	labial_coronal	1453.73	1453.8	0.999987	0.000013
2	a	pause	coronal	pause_coronal	1448.299	1448.379	0.999999	0.000001
3	a	coronal	dorsal	coronal_dorsal	1412.759	1412.839	0.999987	0.000013
4	a	dorsal	pause	dorsal_pause	1429.119	1429.199	0.980926	0.019074
5	a	dorsal	pause	dorsal_pause	1409.265	1409.355	0.000105	0.999895
6	a	labial	coronal	labial_coronal	1428.329	1428.399	0.999997	0.000003
7	a	labial	pause	labial_pause	1433.859	1433.999	1.000000	0.000000
8	a	coronal	dorsal	coronal_dorsal	1417.007	1417.127	0.996786	0.003214
9	a	dorsal	pause	dorsal_pause	1413.529	1413.619	0.038525	0.961474
10	a	labial	coronal	labial_coronal	1426.03	1426.11	0.999986	0.000014
11	a	labial	labial	labial_labial	1422.73	1422.8	0.599671	0.400329
12	a	dorsal	pause	dorsal_pause	1437.709	1437.779	0.068944	0.931056
13	a	coronal	coronal	coronal_coronal	1497.089	1497.159	0.999989	0.000011
14	a	coronal	pause	coronal_pause	1477.248	1477.388	1.000000	0.000000
15	a	labial	coronal	labial_coronal	1491.876	1491.946	0.999995	0.000005
16	a	dorsal	dorsal	dorsal_dorsal	1483.347	1483.417	0.983157	0.016843
17	a	labial	pause	labial_pause	1474.024	1474.154	0.999997	0.000003
18	a	pause	m	pause_m	1469.689	1469.799	0.999998	0.000002
19	a	coronal	labial	coronal_labial	1517.671	1517.741	0.999999	0.000001
20	a	pause	coronal	pause_coronal	1475.054	1475.184	0.999962	0.000038
21	a	coronal	coronal	coronal_coronal	1505.966	1506.046	1.000000	0.000000
22	a	labial	coronal	labial_coronal	1505.596	1505.676	0.999994	0.000006
23	a	dorsal	coronal	dorsal_coronal	1492.526	1492.606	0.755256	0.244744
24	a	dorsal	pause	dorsal_pause	1530.307	1530.437	0.957444	0.042556
25	a	coronal	coronal	coronal_coronal	1483.107	1483.187	1.000000	0.000000
26	a	dorsal	dorsal	dorsal_dorsal	1474.694	1474.764	0.098287	0.901713
27	a	coronal	pause	coronal_pause	1567.49	1567.57	0.999019	0.000981
28	a	dorsal	pause	dorsal_pause	1658.273	1658.393	0.951465	0.048535
29	a	coronal	coronal	coronal_coronal	1580.247	1580.377	0.999997	0.000003
30	a	labial	coronal	labial_coronal	1549.378	1549.448	0.999999	0.000001
31	a	labial	dorsal	labial_dorsal	1594.839	1594.919	0.966744	0.033256
32	a	labial	pause	labial_pause	1604.226	1604.376	0.999508	0.000492
33	a	pause	coronal	pause_coronal	1579.617	1579.707	0.999982	0.000018
34	a	labial	coronal	labial_coronal	1567.36	1567.43	0.999999	0.000001
35	a	dorsal	pause	dorsal_pause	1550.798	1550.868	0.852548	0.147452
36	a	dorsal	pause	dorsal_pause	1581.197	1581.337	0.999991	0.000009
37	a	dorsal	pause	dorsal_pause	1611.407	1611.497	0.973585	0.026415
38	a	coronal	labial	coronal_labial	1549.228	1549.328	0.999998	0.000002
39	a	coronal	dorsal	coronal_dorsal	1596.289	1596.369	0.999194	0.000806
40	a	coronal	dorsal	coronal_dorsal	1707.438	1707.508	0.999997	0.000003
41	a	labial	coronal	labial_coronal	1773.271	1773.351	1.000000	0.000000
42	a	coronal	labial	coronal_labial	1712.85	1712.92	0.999953	0.000047
43	a	dorsal	dorsal	dorsal_dorsal	1702.238	1702.338	1.000000	0.000000
44	a	pause	n	pause_n	1792.29	1792.38	1.000000	0.000000
45	a	coronal	dorsal	coronal_dorsal	1788.918	1789.088	1.000000	0.000000
46	a	n	pause	n_pause	1795.092	1795.182	0.999966	0.000034
47	a	labial	m	labial_m	1772.071	1772.171	1.000000	0.000000
48	a	dorsal	dorsal	dorsal_dorsal	1707.998	1708.148	0.999994	0.000006
49	a	dorsal	pause	dorsal_pause	1793.49	1793.57	0.999816	0.000184
50	a	m	coronal	m_coronal	1697.16	1697.24	0.999996	0.000004
51	a	dorsal	pause	dorsal_pause	1700.742	1700.852	0.999931	0.000069
52	a	coronal	labial	coronal_labial	1699.412	1699.492	0.999994	0.000006
53	a	m	coronal	m_coronal	1772.221	1772.311	0.999980	0.000020
54	a	labial	coronal	labial_coronal	1802.611	1802.691	1.000000	0.000000
55	a	labial	coronal	labial_coronal	1801.261	1801.341	0.998187	0.001813
56	A	dorsal	coronal	dorsal_coronal	1735.82	1735.85	0.000492	0.999509
57	A	dorsal	coronal	dorsal_coronal	1725.742	1725.812	0.011126	0.988874
58	A	pause	labial	pause_labial	1790.703	1790.743	0.000222	0.999778
59	A	coronal	coronal	coronal_coronal	1788.078	1788.198	0.000071	0.999929
60	A	coronal	pause	coronal_pause	1785.266	1785.356	0.000028	0.999972
61	A	dorsal	n	dorsal_n	1795.862	1795.892	0.000129	0.999871
62	A	pause	labial	pause_labial	1772.711	1772.801	0.028353	0.971646
63	A	dorsal	n	dorsal_n	1795.012	1795.042	0.000143	0.999857
64	A	dorsal	coronal	dorsal_coronal	1768.541	1768.641	0.934576	0.065424
65	A	dorsal	coronal	dorsal_coronal	1731.182	1731.252	0.000020	0.999980
66	A	coronal	n	coronal_n	1812.403	1812.443	0.000190	0.999810
67	A	coronal	coronal	coronal_coronal	1804.621	1804.701	0.176328	0.823672
68	A	coronal	labial	coronal_labial	1837.072	1837.102	0.001045	0.998955
69	A	dorsal	n	dorsal_n	1798.374	1798.404	0.001723	0.998277
70	A	dorsal	labial	dorsal_labial	1831.626	1831.676	0.000044	0.999956
71	A	pause	pause	pause_pause	1822.45	1822.48	0.000285	0.999715
72	A	dorsal	n	dorsal_n	1797.914	1797.944	0.000391	0.999609
73	A	m	coronal	m_coronal	1926.8	1926.85	0.002408	0.997592
74	A	dorsal	labial	dorsal_labial	1967.37	1967.44	0.000184	0.999816
75	A	pause	n	pause_n	1814.383	1814.413	0.000209	0.999791
76	A	m	dorsal	m_dorsal	1930.725	1930.755	0.000123	0.999877
77	A	dorsal	coronal	dorsal_coronal	1965.071	1965.161	0.992813	0.007187
78	A	coronal	dorsal	coronal_dorsal	1931.335	1931.375	0.000011	0.999989
79	A	m	dorsal	m_dorsal	1938.489	1938.539	0.000243	0.999757
80	A	dorsal	coronal	dorsal_coronal	1982.183	1982.263	0.011540	0.988460
81	A	coronal	dorsal	coronal_dorsal	1878.242	1878.332	0.000136	0.999864
82	A	pause	labial	pause_labial	1938.969	1938.999	0.000195	0.999805
83	A	dorsal	n	dorsal_n	1803.111	1803.141	0.003344	0.996656
84	A	coronal	dorsal	coronal_dorsal	1834.051	1834.151	0.000092	0.999908
85	A	dorsal	labial	dorsal_labial	1833.341	1833.391	0.000246	0.999754
86	A	coronal	dorsal	coronal_dorsal	1882.277	1882.337	0.000175	0.999825
87	A	labial	coronal	labial_coronal	1857.178	1857.258	0.000057	0.999943
88	A	m	coronal	m_coronal	1940.029	1940.069	0.000066	0.999934
89	A	dorsal	n	dorsal_n	1813.553	1813.593	0.000005	0.999995
90	A	dorsal	n	dorsal_n	1827.258	1827.288	0.000579	0.999421
91	A	dorsal	coronal	dorsal_coronal	1947.124	1947.164	0.000075	0.999925
92	A	dorsal	dorsal	dorsal_dorsal	2034.497	2034.557	0.009011	0.990989
93	A	dorsal	n	dorsal_n	2125.171	2125.201	0.000228	0.999772
94	A	m	coronal	m_coronal	2151.841	2151.911	0.011575	0.988425
95	A	coronal	dorsal	coronal_dorsal	2193.213	2193.293	0.942603	0.057397
96	A	m	dorsal	m_dorsal	2153.88	2153.95	0.056705	0.943295
97	A	pause	labial	pause_labial	2043.871	2044.001	0.000000	1.000000
98	A	m	coronal	m_coronal	2106.865	2107.005	0.000000	1.000000
99	A	coronal	labial	coronal_labial	2193.693	2193.783	0.000041	0.999959
100	A	dorsal	m	dorsal_m	2200.068	2200.098	0.000845	0.999155
101	A	m	dorsal	m_dorsal	2154.25	2154.28	0.000202	0.999798
102	A	m	dorsal	m_dorsal	2158.992	2159.022	0.000119	0.999881
103	A	labial	coronal	labial_coronal	2135.81	2135.87	0.000536	0.999464
104	A	dorsal	coronal	dorsal_coronal	2241.763	2241.863	0.377164	0.622836
105	A	dorsal	coronal	dorsal_coronal	1992.839	1992.949	0.000127	0.999873
106	A	dorsal	coronal	dorsal_coronal	1985.162	1985.252	0.000212	0.999788
107	A	m	labial	m_labial	2086.218	2086.318	0.000682	0.999318
108	A	pause	labial	pause_labial	2138.624	2138.724	0.851410	0.148590
109	A	coronal	coronal	coronal_coronal	2189.875	2189.965	0.000709	0.999291
110	A	m	pause	m_pause	2033.567	2033.667	0.002524	0.997476
