	son	contexte_gauche	contexte_droit	contextes	temps_debut	temps_fin	proba_oral	proba_nasal
1	a	coronal	coronal	coronal_coronal	2243.35	2243.45	1.000000	0.000000
2	a	coronal	coronal	coronal_coronal	2241.81	2241.91	0.998396	0.001604
3	a	labial	m	labial_m	2187.55	2187.71	0.999897	0.000103
4	a	coronal	coronal	coronal_coronal	2282.644	2282.754	1.000000	0.000000
5	a	coronal	coronal	coronal_coronal	2277.036	2277.116	1.000000	0.000000
6	a	m	coronal	m_coronal	2268.77	2268.86	1.000000	0.000000
7	a	coronal	coronal	coronal_coronal	2249.022	2249.092	0.999876	0.000124
8	a	labial	coronal	labial_coronal	2269.38	2269.56	1.000000	0.000000
9	a	labial	dorsal	labial_dorsal	2267.37	2267.47	0.663513	0.336487
10	a	coronal	coronal	coronal_coronal	2257.421	2257.491	0.999985	0.000015
11	a	dorsal	n	dorsal_n	2265.573	2265.653	0.999844	0.000156
12	a	coronal	coronal	coronal_coronal	2251.689	2251.769	0.999440	0.000560
13	a	dorsal	dorsal	dorsal_dorsal	2267.58	2267.77	1.000000	0.000000
14	a	coronal	coronal	coronal_coronal	2278.574	2278.644	1.000000	0.000000
15	a	labial	dorsal	labial_dorsal	2264.873	2264.983	0.062072	0.937928
16	a	dorsal	pause	dorsal_pause	2606.498	2606.588	1.000000	0.000000
17	a	labial	coronal	labial_coronal	2614.178	2614.288	1.000000	0.000000
18	a	n	pause	n_pause	2625.049	2625.139	0.999875	0.000125
19	a	labial	dorsal	labial_dorsal	2562.644	2562.764	0.999995	0.000005
20	a	labial	coronal	labial_coronal	2564.781	2564.851	1.000000	0.000000
21	a	dorsal	dorsal	dorsal_dorsal	2610.288	2610.368	0.983095	0.016905
22	a	coronal	dorsal	coronal_dorsal	2441.718	2441.848	0.877623	0.122377
23	a	dorsal	dorsal	dorsal_dorsal	2613.108	2613.198	0.999981	0.000019
24	a	coronal	coronal	coronal_coronal	2287.874	2287.964	1.000000	0.000000
25	a	labial	pause	labial_pause	2401.15	2401.25	0.032957	0.967043
26	a	labial	coronal	labial_coronal	2324.181	2324.251	0.986155	0.013845
27	a	pause	pause	pause_pause	2472.625	2472.805	1.000000	0.000000
28	a	m	coronal	m_coronal	2552.43	2552.51	0.966790	0.033210
29	a	labial	m	labial_m	2609.168	2609.278	0.999977	0.000023
30	a	dorsal	pause	dorsal_pause	2303.227	2303.377	1.000000	0.000000
31	a	pause	dorsal	pause_dorsal	2628.981	2629.161	1.000000	0.000000
32	a	coronal	dorsal	coronal_dorsal	2487.337	2487.417	1.000000	0.000000
33	a	dorsal	pause	dorsal_pause	2625.953	2626.033	0.627740	0.372260
34	a	dorsal	pause	dorsal_pause	2469.052	2469.132	0.245730	0.754270
35	a	coronal	m	coronal_m	2286.864	2286.944	0.999999	0.000001
36	a	m	coronal	m_coronal	2609.308	2609.428	0.999974	0.000026
37	a	dorsal	n	dorsal_n	2612.508	2612.578	0.999997	0.000003
38	a	m	dorsal	m_dorsal	2490.301	2490.371	0.999078	0.000922
39	a	coronal	coronal	coronal_coronal	2644.929	2644.999	0.999537	0.000463
40	a	dorsal	dorsal	dorsal_dorsal	2666.841	2666.921	0.999709	0.000291
41	a	labial	pause	labial_pause	2655.4	2655.52	0.997904	0.002096
42	a	coronal	coronal	coronal_coronal	2684.549	2684.619	0.999973	0.000027
43	a	dorsal	coronal	dorsal_coronal	2656.778	2656.888	1.000000	0.000000
44	a	dorsal	pause	dorsal_pause	2667.051	2667.151	0.999965	0.000035
45	a	dorsal	dorsal	dorsal_dorsal	2655.04	2655.11	0.996307	0.003693
46	a	dorsal	pause	dorsal_pause	2664.285	2664.355	0.999133	0.000867
47	a	labial	pause	labial_pause	2678.575	2678.695	0.999876	0.000124
48	a	labial	labial	labial_labial	2654.05	2654.12	1.000000	0.000000
49	a	dorsal	dorsal	dorsal_dorsal	2652.37	2652.46	0.035084	0.964916
50	a	labial	coronal	labial_coronal	2678.135	2678.225	0.999917	0.000083
51	a	labial	coronal	labial_coronal	2683.357	2683.447	1.000000	0.000001
52	a	labial	pause	labial_pause	2658.655	2658.725	0.998618	0.001382
53	a	labial	dorsal	labial_dorsal	2656.608	2656.708	0.999765	0.000235
54	a	dorsal	pause	dorsal_pause	2657.038	2657.138	1.000000	0.000000
55	a	labial	labial	labial_labial	2662.375	2662.465	1.000000	0.000000
56	A	pause	m	pause_m	3944.021	3944.101	0.000666	0.999334
57	A	coronal	coronal	coronal_coronal	3972.835	3972.965	0.000000	1.000000
58	A	coronal	coronal	coronal_coronal	3983.313	3983.343	0.000129	0.999871
59	A	coronal	coronal	coronal_coronal	3974.055	3974.195	0.000772	0.999228
60	A	dorsal	coronal	dorsal_coronal	4000.387	4000.477	0.000004	0.999996
61	A	n	pause	n_pause	3987.574	3987.784	0.002839	0.997161
62	A	labial	coronal	labial_coronal	3992.254	3992.434	0.000000	1.000000
63	A	coronal	coronal	coronal_coronal	3905.295	3905.345	0.000056	0.999944
64	A	labial	coronal	labial_coronal	3957.531	3957.651	0.000000	1.000000
65	A	pause	labial	pause_labial	3978.783	3978.893	0.018873	0.981127
66	A	labial	coronal	labial_coronal	3993.954	3994.044	0.000001	0.999999
67	A	coronal	coronal	coronal_coronal	3988.154	3988.304	0.000000	1.000000
68	A	n	m	n_m	3970.975	3971.085	0.000892	0.999108
69	A	pause	labial	pause_labial	3882.484	3882.514	0.000991	0.999009
70	A	labial	coronal	labial_coronal	3980.623	3980.713	0.000000	1.000000
71	A	coronal	coronal	coronal_coronal	3982.003	3982.113	0.001478	0.998522
72	A	m	labial	m_labial	4356.552	4356.632	0.000000	1.000000
73	A	m	pause	m_pause	4354.49	4354.52	0.000330	0.999670
74	A	m	dorsal	m_dorsal	4343.02	4343.12	0.000000	1.000000
75	A	coronal	labial	coronal_labial	4423.961	4424.091	0.920152	0.079848
76	A	coronal	n	coronal_n	4337.074	4337.104	0.000039	0.999961
77	A	pause	labial	pause_labial	4423.131	4423.161	0.002406	0.997594
78	A	m	dorsal	m_dorsal	4346.641	4346.741	0.000001	0.999999
79	A	coronal	labial	coronal_labial	4090.986	4091.046	0.005179	0.994821
80	A	m	coronal	m_coronal	4323.562	4323.652	0.000002	0.999998
81	A	coronal	coronal	coronal_coronal	4367.593	4367.663	0.219301	0.780699
82	A	n	coronal	n_coronal	4375.794	4375.894	0.000000	1.000000
83	A	m	m	m_m	4337.474	4337.544	0.001731	0.998269
