	son	contexte_gauche	contexte_droit	contextes	temps_debut	temps_fin	proba_oral	proba_nasal
1	a	coronal	labial	coronal_labial	2480.789	2480.879	1.000000	0.000000
2	a	pause	coronal	pause_coronal	2512.426	2512.596	0.999990	0.000010
3	a	pause	coronal	pause_coronal	2488.752	2488.942	1.000000	0.000000
4	a	coronal	pause	coronal_pause	2501.781	2501.911	0.441830	0.558170
5	a	labial	coronal	labial_coronal	2442.28	2442.35	0.887935	0.112065
6	a	dorsal	pause	dorsal_pause	2497.499	2497.569	0.207542	0.792458
7	a	labial	dorsal	labial_dorsal	2395.142	2395.272	1.000000	0.000000
8	a	dorsal	coronal	dorsal_coronal	2490.592	2490.662	0.989178	0.010822
9	a	dorsal	labial	dorsal_labial	2395.392	2395.522	1.000000	0.000000
10	a	coronal	coronal	coronal_coronal	2457.901	2457.971	0.999993	0.000007
11	a	coronal	pause	coronal_pause	2408.967	2409.067	0.994774	0.005226
12	a	dorsal	coronal	dorsal_coronal	2403.056	2403.146	1.000000	0.000000
13	a	labial	dorsal	labial_dorsal	2431.737	2431.817	0.998162	0.001838
14	a	labial	dorsal	labial_dorsal	2456.781	2456.891	0.999836	0.000164
15	a	dorsal	coronal	dorsal_coronal	2408.467	2408.537	0.999283	0.000717
16	a	labial	coronal	labial_coronal	2742.643	2742.713	0.999998	0.000002
17	a	coronal	coronal	coronal_coronal	2557.311	2557.381	0.999960	0.000040
18	a	labial	coronal	labial_coronal	2817.386	2817.476	1.000000	0.000000
19	a	coronal	dorsal	coronal_dorsal	2643.202	2643.292	0.999454	0.000546
20	a	labial	labial	labial_labial	2700.911	2700.981	0.647675	0.352325
21	a	dorsal	coronal	dorsal_coronal	2546.813	2546.893	0.999996	0.000004
22	a	pause	pause	pause_pause	2807.88	2808	1.000000	0.000000
23	a	pause	dorsal	pause_dorsal	2706.659	2706.769	0.999990	0.000010
24	a	coronal	m	coronal_m	2619.145	2619.225	1.000000	0.000000
25	a	coronal	dorsal	coronal_dorsal	2567.601	2567.701	1.000000	0.000000
26	a	labial	pause	labial_pause	2737.184	2737.254	0.999971	0.000029
27	a	coronal	coronal	coronal_coronal	2605.235	2605.335	0.999959	0.000041
28	a	dorsal	pause	dorsal_pause	2644.612	2644.722	0.985879	0.014120
29	a	dorsal	dorsal	dorsal_dorsal	2564.06	2564.13	1.000000	0.000000
30	a	coronal	coronal	coronal_coronal	2611.637	2611.707	0.999999	0.000001
31	a	coronal	coronal	coronal_coronal	2623.773	2623.843	1.000000	0.000000
32	a	coronal	pause	coronal_pause	2732.088	2732.228	0.452354	0.547646
33	a	coronal	pause	coronal_pause	2830.012	2830.092	0.988794	0.011206
34	a	coronal	pause	coronal_pause	2738.944	2739.064	0.999999	0.000001
35	a	coronal	labial	coronal_labial	2822.335	2822.405	0.993443	0.006557
36	a	labial	pause	labial_pause	2653.287	2653.387	0.940706	0.059294
37	a	dorsal	pause	dorsal_pause	2773.846	2773.936	0.999992	0.000008
38	a	coronal	dorsal	coronal_dorsal	2546.593	2546.683	0.997064	0.002936
39	a	dorsal	pause	dorsal_pause	2566.94	2567.05	0.995875	0.004125
40	a	dorsal	coronal	dorsal_coronal	2732.848	2732.918	1.000000	0.000000
41	a	labial	pause	labial_pause	2537.544	2537.714	0.999650	0.000350
42	a	dorsal	labial	dorsal_labial	2521.119	2521.329	1.000000	0.000000
43	a	labial	coronal	labial_coronal	2830.652	2830.752	0.999916	0.000084
44	a	labial	pause	labial_pause	2840.521	2840.621	0.248734	0.751266
45	a	coronal	dorsal	coronal_dorsal	2874.169	2874.249	1.000000	0.000000
46	a	n	dorsal	n_dorsal	2929.979	2930.049	0.999951	0.000049
47	a	coronal	dorsal	coronal_dorsal	2982.176	2982.246	0.999397	0.000603
48	a	dorsal	pause	dorsal_pause	2888.44	2888.53	0.330983	0.669017
49	a	coronal	m	coronal_m	2994.922	2995.032	0.900385	0.099615
50	a	pause	coronal	pause_coronal	2885.555	2885.625	0.999778	0.000222
51	a	labial	coronal	labial_coronal	2929.189	2929.339	1.000000	0.000000
52	a	n	labial	n_labial	2932.484	2932.564	0.821113	0.178887
53	a	labial	dorsal	labial_dorsal	2842.316	2842.446	0.039094	0.960906
54	a	coronal	coronal	coronal_coronal	2992.148	2992.218	1.000000	0.000000
55	a	labial	coronal	labial_coronal	2982.066	2982.136	0.998438	0.001562
56	A	coronal	coronal	coronal_coronal	1433.392	1433.432	0.000035	0.999965
57	A	dorsal	m	dorsal_m	1439.772	1439.802	0.000032	0.999968
58	A	coronal	coronal	coronal_coronal	1441.075	1441.125	0.000052	0.999948
59	A	m	coronal	m_coronal	1454.593	1454.633	0.002305	0.997695
60	A	coronal	labial	coronal_labial	1497.338	1497.398	0.000869	0.999131
61	A	coronal	dorsal	coronal_dorsal	1625.629	1625.779	0.003075	0.996925
62	A	coronal	coronal	coronal_coronal	1484.351	1484.401	0.000077	0.999923
63	A	coronal	labial	coronal_labial	1484.211	1484.261	0.000970	0.999030
64	A	coronal	labial	coronal_labial	1460.974	1461.024	0.000014	0.999986
65	A	coronal	dorsal	coronal_dorsal	1446.007	1446.087	0.000081	0.999919
66	A	dorsal	m	dorsal_m	1518.646	1518.676	0.000211	0.999789
67	A	dorsal	coronal	dorsal_coronal	1596.031	1596.171	0.000000	1.000000
68	A	dorsal	coronal	dorsal_coronal	1504.256	1504.296	0.000400	0.999600
69	A	m	coronal	m_coronal	1625.419	1625.479	0.000174	0.999826
70	A	pause	labial	pause_labial	1466.776	1466.806	0.000483	0.999517
71	A	n	coronal	n_coronal	1471.895	1471.925	0.000122	0.999878
72	A	m	dorsal	m_dorsal	1568.384	1568.474	0.000000	1.000000
73	A	m	pause	m_pause	1572.337	1572.457	0.002945	0.997055
74	A	coronal	pause	coronal_pause	1602.249	1602.329	0.514248	0.485752
75	A	m	n	m_n	1729.501	1729.561	0.000413	0.999587
76	A	coronal	coronal	coronal_coronal	1840.642	1840.682	0.001352	0.998648
77	A	coronal	coronal	coronal_coronal	1841.902	1841.932	0.000029	0.999971
78	A	dorsal	coronal	dorsal_coronal	1709.796	1709.846	0.000062	0.999938
