	son	contexte_gauche	contexte_droit	contextes	temps_debut	temps_fin	proba_oral	proba_nasal
1	a	pause	coronal	pause_coronal	2085.044	2085.154	1.000000	0.000000
2	a	pause	dorsal	pause_dorsal	1994.401	1994.511	0.999999	0.000001
3	a	m	coronal	m_coronal	1988.078	1988.148	0.964223	0.035777
4	a	labial	labial	labial_labial	1988.808	1988.898	0.998696	0.001304
5	a	coronal	labial	coronal_labial	2096.017	2096.087	0.991185	0.008815
6	a	coronal	dorsal	coronal_dorsal	2033.062	2033.132	0.999998	0.000002
7	a	dorsal	coronal	dorsal_coronal	1996.751	1996.841	1.000000	0.000000
8	a	labial	dorsal	labial_dorsal	2168.136	2168.226	0.994809	0.005191
9	a	labial	coronal	labial_coronal	2345.535	2345.605	0.976316	0.023684
10	a	labial	pause	labial_pause	2243.287	2243.407	1.000000	0.000000
11	a	coronal	labial	coronal_labial	2240.486	2240.556	0.053469	0.946531
12	a	labial	dorsal	labial_dorsal	2166.243	2166.383	0.999983	0.000017
13	a	labial	pause	labial_pause	2180.506	2180.616	0.999999	0.000001
14	a	labial	coronal	labial_coronal	2264.671	2264.751	0.999980	0.000020
15	a	coronal	pause	coronal_pause	2194.989	2195.059	0.992323	0.007677
16	a	coronal	labial	coronal_labial	2168.536	2168.606	0.954886	0.045114
17	a	labial	coronal	labial_coronal	2144.159	2144.269	0.999212	0.000788
18	a	coronal	coronal	coronal_coronal	2187.55	2187.62	0.998649	0.001351
19	a	pause	dorsal	pause_dorsal	2356.636	2356.776	1.000000	0.000000
20	a	labial	dorsal	labial_dorsal	2199.708	2199.778	0.166865	0.833135
21	a	labial	coronal	labial_coronal	2209.546	2209.636	1.000000	0.000000
22	a	labial	coronal	labial_coronal	2181.246	2181.326	0.999999	0.000001
23	a	dorsal	labial	dorsal_labial	2190.687	2190.787	0.015538	0.984462
24	a	coronal	coronal	coronal_coronal	2229.622	2229.702	1.000000	0.000000
25	a	labial	dorsal	labial_dorsal	2244.347	2244.427	0.999461	0.000539
26	a	labial	dorsal	labial_dorsal	2192.247	2192.317	0.635208	0.364792
27	a	labial	coronal	labial_coronal	2240.586	2240.656	0.998553	0.001447
28	a	coronal	pause	coronal_pause	2326.445	2326.545	0.999998	0.000002
29	a	labial	coronal	labial_coronal	2141.77	2141.84	0.045491	0.954509
30	a	coronal	n	coronal_n	2360.656	2360.746	1.000000	0.000000
31	a	coronal	dorsal	coronal_dorsal	2561.268	2561.338	0.999996	0.000004
32	a	pause	coronal	pause_coronal	2615.011	2615.081	0.999623	0.000377
